vibration,current_voltage,temperature,pressure,fuel_usage,emission,torque,load_today,rpm,machine_health
6.38,346.57,105.8,5.25,31.86,3.73,357.1,61,937,33.32
2.79,355.21,95.2,8.45,32.63,4.87,66.0,48,1206,42.98
6.72,381.53,90.9,4.06,46.39,0.39,289.1,97,2649,35.95
8.64,389.05,38.1,6.56,8.53,2.41,468.8,47,956,41.51
8.73,356.66,61.5,2.35,92.43,0.42,226.0,78,2283,42.23
6.01,259.87,56.1,4.44,5.42,3.82,340.2,26,1761,53.62
5.53,456.04,26.5,3.04,72.74,4.31,187.0,26,1448,51.7
6.4,455.35,56.4,4.43,16.51,0.73,320.9,74,762,46.56
7.85,319.32,32.1,7.01,29.8,1.59,262.4,27,1484,54.89
6.14,215.68,23.3,9.46,81.84,4.5,329.3,13,1654,47.12
5.1,231.28,27.0,7.53,10.52,1.64,286.1,19,747,63.86
5.57,455.96,117.4,7.26,93.84,0.67,200.7,36,1308,39.01
7.54,478.2,72.1,3.89,80.13,1.39,451.4,89,1793,30.22
4.76,250.6,59.0,6.2,50.1,3.71,102.0,95,1141,47.87
0.69,340.36,26.8,1.07,12.52,3.33,498.5,9,1224,66.94
1.66,352.51,46.5,2.93,12.66,1.34,456.5,71,1671,63.56
6.09,433.09,64.6,7.78,45.47,4.63,195.5,61,1594,36.72
1.1,460.53,34.1,2.5,99.17,1.5,132.0,53,1538,62.19
5.67,405.22,83.1,1.61,94.59,4.88,323.8,9,2204,35.56
7.62,382.69,116.8,1.44,8.74,2.28,101.4,19,2752,44.12
7.18,206.47,98.8,7.35,16.67,4.23,433.8,76,1154,35.05
4.51,235.7,82.2,7.12,13.72,3.97,369.5,67,840,42.3
7.31,427.98,63.6,3.24,27.92,2.92,178.5,12,1598,51.68
0.37,388.76,73.9,2.88,92.0,0.72,423.1,48,1212,57.52
7.15,460.6,52.1,2.85,24.01,3.63,423.9,86,970,35.82
2.2,283.08,102.8,7.23,30.98,4.99,425.9,51,982,40.26
3.2,385.68,77.4,4.56,78.19,3.86,204.8,26,1404,50.27
5.46,393.95,62.9,7.15,41.31,3.37,164.0,70,2855,35.69
8.09,379.57,36.3,4.38,13.74,0.14,276.3,22,1632,59.47
5.64,471.58,75.7,8.36,97.16,0.54,98.6,4,1430,47.41
0.86,270.73,29.5,3.89,59.27,1.15,163.7,25,2902,67.16
0.23,371.58,87.5,1.17,6.65,3.09,397.9,89,2956,45.6
6.48,252.03,34.9,4.11,18.75,0.44,257.7,35,2093,62.64
6.11,381.02,90.2,2.57,44.49,0.33,158.4,29,2556,51.89
3.33,342.24,21.3,4.85,94.75,2.51,470.0,92,2227,43.83
9.69,224.76,67.2,9.97,49.33,4.61,478.9,5,700,30.51
0.73,239.88,95.9,6.67,86.98,3.21,425.9,13,826,45.42
2.59,216.13,50.4,4.07,15.81,2.92,450.0,92,920,54.93
5.06,232.58,53.6,5.47,83.98,3.77,493.8,71,1109,39.74
1.08,211.21,87.2,8.65,90.84,3.4,243.6,23,1590,52.31
4.61,446.54,25.9,7.87,64.98,2.35,115.7,76,1334,48.04
3.71,225.27,79.3,8.43,99.31,3.27,158.9,85,763,37.69
9.46,358.81,81.2,3.25,85.05,3.22,294.5,82,2402,27.89
6.99,456.36,31.8,8.23,95.33,0.61,119.7,91,1285,43.06
1.61,274.02,72.0,2.41,36.56,2.08,440.2,20,1973,61.47
3.5,369.11,105.6,4.72,10.86,0.31,203.7,90,1275,54.52
6.71,408.45,119.0,6.82,82.44,2.17,219.6,71,650,25.87
3.56,279.43,84.1,8.87,61.9,2.93,223.0,7,2922,41.9
5.93,394.5,61.3,6.99,29.43,1.1,479.0,85,2988,34.71
6.79,309.9,68.1,5.28,82.25,2.29,484.6,53,554,33.98
7.49,384.28,61.1,9.44,94.89,4.1,217.2,28,978,29.95
7.94,439.14,61.2,1.29,30.99,4.77,160.1,19,1061,43.24
2.35,319.54,39.7,6.78,47.53,2.8,445.8,15,2581,51.96
6.41,383.63,25.1,6.43,77.01,4.99,159.6,20,588,41.84
2.27,235.86,74.6,3.05,62.28,4.3,313.8,60,1316,53.16
4.79,273.09,70.0,5.29,78.45,0.41,326.1,57,1963,52.59
8.17,461.67,37.4,8.4,26.28,0.65,317.2,34,2627,41.72
8.32,409.31,92.8,3.9,68.4,2.24,268.3,61,2411,30.52
6.59,432.17,67.8,3.21,83.89,1.68,344.8,98,889,36.33
9.98,385.94,116.8,4.56,56.22,3.18,231.0,11,1772,34.41
9.64,227.33,110.0,2.27,59.65,0.83,98.1,64,2551,43.32
5.55,241.92,116.1,5.89,18.85,0.67,303.0,12,2148,51.67
2.27,283.96,20.8,8.43,55.53,1.01,59.9,83,1173,65.99
6.45,328.27,20.7,8.41,40.37,1.91,497.1,69,2484,41.62
7.89,377.56,66.7,3.6,32.1,4.96,104.9,65,1257,41.91
